วันที่,เลขที่ใบเสร็จ,ประเภทใบเสร็จ,ประเภท,รหัสSKUสินค้า,รายการ,ตัวแปร,ปรับเปลี่ยนการใช้งาน,จำนวน,ยอดขายรวม,ส่วนลด,ยอดขายสุทธิ,ต้นทุนของสินค้า,กำไรรวม,ภาษี,ระบบขายหน้าร้าน,ร้านค้า,ชื่อแคชเชียร์,ชื่อลูกค้า,รายชื่อติดต่อลูกค้า,ความคิดเห็น,สถานะ
19/10/20 20:21,1-7961,ลดราคา,ของกิน,10038,กุนเชียงปลา,,,4.000,580.00,0.00,580.00,0.00,580.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 20:21,1-7960,ลดราคา,ของกิน,10038,กุนเชียงปลา,,,3.000,435.00,0.00,435.00,0.00,435.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 16:36,1-7959,ลดราคา,ผักใบ,10102,ผักบุ้งจีน,,,0.100,12.00,0.00,12.00,0.00,12.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 16:36,1-7959,ลดราคา,ผักผล,10149,หอมใหญ่,,,0.200,24.00,0.00,24.00,0.00,24.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 16:23,1-7958,ลดราคา,ผักใบ,10103,ผักปลัง,,,0.200,24.00,0.76,23.24,0.00,23.24,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 16:23,1-7958,ลดราคา,ผักผล,10111,พริกขี้หนู  ถุงละ,,,1.000,12.00,0.38,11.62,0.00,11.62,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 16:23,1-7958,ลดราคา,ผลไม้,10159,แตงไทย,,,1.500,90.00,2.86,87.14,0.00,87.14,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 16:19,1-7957,ลดราคา,ผักผล,10008,กระเทียม,,,0.500,110.00,4.01,105.99,0.00,105.99,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 16:19,1-7957,ลดราคา,ผักผล,10149,หอมใหญ่,,,0.370,44.40,1.62,42.78,0.00,42.78,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 16:19,1-7957,ลดราคา,ของแห้ง,10173,ไข่ไก่,,,10.000,70.00,2.55,67.45,0.00,67.45,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 16:19,1-7957,ลดราคา,ผลไม้,10170,กล้วยน้ำว้า,,,1.000,50.00,1.82,48.18,0.00,48.18,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 16:12,1-7956,ลดราคา,ผลไม้,10109,ฝรั่ง,,,0.500,30.00,0.00,30.00,0.00,30.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 16:09,1-7955,ลดราคา,ผักใบ,10103,ผักปลัง,,,0.400,48.00,0.00,48.00,0.00,48.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 16:07,1-7954,ลดราคา,ผักผล,10073,ข้าวโพดหวาน,,,0.500,30.00,0.00,30.00,0.00,30.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 16:07,1-7953,ลดราคา,ผลไม้,10171,กล้วยหอมทอง,,,1.000,80.00,10.00,70.00,0.00,70.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:58,1-7952,ลดราคา,ผักผล,10111,พริกขี้หนู  ถุงละ,,,1.000,12.00,0.00,12.00,0.00,12.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:53,1-7951,ลดราคา,ผักใบ,10076,จิงจูฉ่าย   กำละ,,,1.000,24.00,0.00,24.00,0.00,24.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:53,1-7951,ลดราคา,ผักใบ,10103,ผักปลัง,,,0.200,24.00,0.00,24.00,0.00,24.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:46,1-7950,ลดราคา,ผักใบ,10103,ผักปลัง,,,0.300,36.00,0.00,36.00,0.00,36.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:42,1-7949,ลดราคา,ผักใบ,10082,ตะไคร้,,,0.200,12.00,0.00,12.00,0.00,12.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:42,1-7949,ลดราคา,ผักใบ,10103,ผักปลัง,,,0.300,36.00,0.00,36.00,0.00,36.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:41,1-7948,ลดราคา,ผลไม้,10109,ฝรั่ง,,,0.720,43.20,0.00,43.20,0.00,43.20,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:41,1-7948,ลดราคา,ผักผล,10008,กระเทียม,,,0.420,92.40,0.00,92.40,0.00,92.40,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:41,1-7948,ลดราคา,ผลไม้,10157,แคนตาลูป,,,0.900,63.00,0.00,63.00,0.00,63.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:39,1-7947,ลดราคา,ผลไม้,10157,แคนตาลูป,,,1.280,89.60,0.00,89.60,0.00,89.60,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:39,1-7947,ลดราคา,ผักผล,10073,ข้าวโพดหวาน,,,0.790,47.40,0.00,47.40,0.00,47.40,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:39,1-7947,ลดราคา,ผักผล,10111,พริกขี้หนู  ถุงละ,,,2.000,24.00,0.00,24.00,0.00,24.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:26,1-7946,ลดราคา,ผลไม้,10157,แคนตาลูป,,,1.280,89.60,0.00,89.60,0.00,89.60,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 15:20,1-7945,ลดราคา,ผลไม้,10157,แคนตาลูป,,,1.200,84.00,0.00,84.00,0.00,84.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
